Entity,Code ISO3,Year,Status of net-zero carbon emissions targets,by_2050_law,other
Romania,ROU,2050,In policy document,FALSE,TRUE
Russia,RUS,2060,In policy document,FALSE,TRUE
Rwanda,RWA,2050,Proposed / in discussion,FALSE,TRUE
Saint Kitts and Nevis,KNA,2050,Proposed / in discussion,FALSE,TRUE
Saint Lucia,LCA,2050,Proposed / in discussion,FALSE,TRUE
Saint Vincent and the Grenadines,VCT,2050,Proposed / in discussion,FALSE,TRUE
Samoa,WSM,2050,Proposed / in discussion,FALSE,TRUE
San Marino,SMR,2030,In policy document,FALSE,TRUE
Sao Tome and Principe,STP,2050,Proposed / in discussion,FALSE,TRUE
Saudi Arabia,SAU,2060,In policy document,FALSE,TRUE
Senegal,SEN,2050,Proposed / in discussion,FALSE,TRUE
Serbia,SRB,2030,In policy document,FALSE,TRUE
Seychelles,SYC,2050,Proposed / in discussion,FALSE,TRUE
Sierra Leone,SLE,2050,Proposed / in discussion,FALSE,TRUE
Singapore,SGP,2050,In policy document,FALSE,TRUE
Slovakia,SVK,2050,In policy document,FALSE,TRUE
Slovenia,SVN,2050,In policy document,FALSE,TRUE
Solomon Islands,SLB,2050,Proposed / in discussion,FALSE,TRUE
Somalia,SOM,2050,Proposed / in discussion,FALSE,TRUE
South Africa,ZAF,2050,Declaration / pledge,FALSE,TRUE
South Korea,KOR,2050,In law,TRUE,TRUE
S. Sudan,SSD,2050,Proposed / in discussion,FALSE,TRUE
Spain,ESP,2050,In law,TRUE,TRUE
Sri Lanka,LKA,2050,Declaration / pledge,FALSE,TRUE
Sudan,SDN,2050,Proposed / in discussion,FALSE,TRUE
Suriname,SUR,2050,Achieved (self-declared),FALSE,TRUE
Sweden,SWE,2045,In law,TRUE,TRUE
Switzerland,CHE,2050,In law,TRUE,TRUE
Tajikistan,TJK,2030,In policy document,FALSE,TRUE
Tanzania,TZA,2050,Proposed / in discussion,FALSE,TRUE
Thailand,THA,2065,In policy document,FALSE,TRUE
Togo,TGO,2050,Proposed / in discussion,FALSE,TRUE
Tonga,TON,2050,Proposed / in discussion,FALSE,TRUE
Trinidad and Tobago,TTO,2050,Proposed / in discussion,FALSE,TRUE
Tunisia,TUN,2050,In policy document,FALSE,TRUE
Turkey,TUR,2053,In policy document,FALSE,TRUE
Turkmenistan,TKM,2030,In policy document,FALSE,TRUE
Tuvalu,TUV,2050,In policy document,FALSE,TRUE
Uganda,UGA,2050,Proposed / in discussion,FALSE,TRUE
